baseline_test,np4_test,baseline_status,baseline_time_s,np4_status,np4_time_s,delta_s,ratio_np4_over_np1,np4_failure_reason
ogs-1D_HeatConduction_dirichlet_SourceTerm_PETSc-mpirun-omp,ogs-1D_HeatConduction_dirichlet_SourceTerm_PETSc-mpirun-omp-np4,PASS,0.260696,FAIL,0.164321,-0.096375,0.630317,missing cfg4 partitioned mesh
ogs-1D_HeatConduction_dirichlet_SourceTerm_PETSc-mpirun-omp-vtkdiff,ogs-1D_HeatConduction_dirichlet_SourceTerm_PETSc-mpirun-omp-np4-vtkdiff,PASS,1.006290,FAIL,0.026707,-0.979583,0.026540,missing np4 result file for vtkdiff
ogs-HMPhaseField_3D_beam_tens_AT1_iso-mpirun,ogs-HMPhaseField_3D_beam_tens_AT1_iso-mpirun-np4,PASS,12.300500,FAIL,0.164704,-12.135796,0.013390,missing cfg4 partitioned mesh
ogs-HMPhaseField_3D_beam_tens_AT1_iso-mpirun-vtkdiff,ogs-HMPhaseField_3D_beam_tens_AT1_iso-mpirun-np4-vtkdiff,PASS,0.042672,FAIL,0.035457,-0.007215,0.830925,missing np4 result file for vtkdiff
ogs-HMPhaseField_3D_beam_tens_AT1_vd-mpirun,ogs-HMPhaseField_3D_beam_tens_AT1_vd-mpirun-np4,PASS,14.102000,FAIL,0.166566,-13.935434,0.011812,missing cfg4 partitioned mesh
ogs-HMPhaseField_3D_beam_tens_AT1_vd-mpirun-vtkdiff,ogs-HMPhaseField_3D_beam_tens_AT1_vd-mpirun-np4-vtkdiff,PASS,0.042409,FAIL,0.034863,-0.007545,0.822086,missing np4 result file for vtkdiff
ogs-LiquidFlowDirichletBCWithinTimeInterval-mpirun,ogs-LiquidFlowDirichletBCWithinTimeInterval-mpirun-np4,PASS,0.152121,FAIL,0.173384,0.021263,1.139777,missing cfg4 partitioned mesh
ogs-LiquidFlowDirichletBCWithinTimeInterval-mpirun-vtkdiff,ogs-LiquidFlowDirichletBCWithinTimeInterval-mpirun-np4-vtkdiff,PASS,0.032898,FAIL,0.031683,-0.001215,0.963076,missing np4 result file for vtkdiff
ogs-LiquidFlow_AxisymTheis-mpirun,ogs-LiquidFlow_AxisymTheis-mpirun-np4,PASS,0.228982,FAIL,0.172881,-0.056101,0.754998,missing cfg4 partitioned mesh
ogs-LiquidFlow_AxisymTheis-mpirun-vtkdiff,ogs-LiquidFlow_AxisymTheis-mpirun-np4-vtkdiff,PASS,0.022795,FAIL,0.024640,0.001845,1.080917,missing np4 result file for vtkdiff
ogs-LiquidFlow_GravityDriven-mpirun,ogs-LiquidFlow_GravityDriven-mpirun-np4,PASS,0.167937,FAIL,0.179847,0.011910,1.070919,missing cfg4 partitioned mesh
ogs-LiquidFlow_GravityDriven-mpirun-vtkdiff,ogs-LiquidFlow_GravityDriven-mpirun-np4-vtkdiff,PASS,0.028204,FAIL,0.024389,-0.003815,0.864726,missing np4 result file for vtkdiff
ogs-LiquidFlow_LineDirichletNeumannBC-mpirun,ogs-LiquidFlow_LineDirichletNeumannBC-mpirun-np4,PASS,0.174305,FAIL,0.174535,0.000230,1.001320,missing cfg4 partitioned mesh
ogs-LiquidFlow_LineDirichletNeumannBC-mpirun-vtkdiff,ogs-LiquidFlow_LineDirichletNeumannBC-mpirun-np4-vtkdiff,PASS,0.038296,FAIL,0.024229,-0.014067,0.632677,missing np4 result file for vtkdiff
ogs-LiquidFlow_PressureBCatCornerOfAnisotropicSquare-mpirun,ogs-LiquidFlow_PressureBCatCornerOfAnisotropicSquare-mpirun-np4,PASS,0.156890,FAIL,0.178271,0.021381,1.136280,missing cfg4 partitioned mesh
ogs-LiquidFlow_PressureBCatCornerOfAnisotropicSquare-mpirun-vtkdiff,ogs-LiquidFlow_PressureBCatCornerOfAnisotropicSquare-mpirun-np4-vtkdiff,PASS,0.024096,FAIL,0.025154,0.001057,1.043882,missing np4 result file for vtkdiff
ogs-OneThreadPETSc_ThermoRichardsFlow_TaskCDECOVALEX2023-mpirun-omp,ogs-OneThreadPETSc_ThermoRichardsFlow_TaskCDECOVALEX2023-mpirun-omp-np4,PASS,13.341100,FAIL,0.174018,-13.167082,0.013044,missing cfg4 partitioned mesh
ogs-OneThreadPETSc_ThermoRichardsFlow_TaskCDECOVALEX2023-mpirun-omp-vtkdiff,ogs-OneThreadPETSc_ThermoRichardsFlow_TaskCDECOVALEX2023-mpirun-omp-np4-vtkdiff,PASS,0.045389,FAIL,0.041876,-0.003513,0.922594,missing np4 result file for vtkdiff
ogs-ParallelFEM_ThermoRichardsFlow_comp_TRMuni_unsaturated-TRuni_unsaturated-mpirun-omp,ogs-ParallelFEM_ThermoRichardsFlow_comp_TRMuni_unsaturated-TRuni_unsaturated-mpirun-omp-np4,PASS,0.179157,FAIL,0.160187,-0.018970,0.894115,missing cfg4 partitioned mesh
ogs-ParallelFEM_ThermoRichardsFlow_comp_TRMuni_unsaturated-TRuni_unsaturated-mpirun-omp-vtkdiff,ogs-ParallelFEM_ThermoRichardsFlow_comp_TRMuni_unsaturated-TRuni_unsaturated-mpirun-omp-np4-vtkdiff,PASS,0.040268,FAIL,0.039354,-0.000914,0.977292,missing np4 result file for vtkdiff
ogs-Parallel_RichardsMechanics_RichardsFlow_2d_richardsflow-mpirun,ogs-Parallel_RichardsMechanics_RichardsFlow_2d_richardsflow-mpirun-np4,PASS,1.166610,FAIL,0.174592,-0.992018,0.149658,missing cfg4 partitioned mesh
ogs-Parallel_RichardsMechanics_RichardsFlow_2d_richardsflow-mpirun-vtkdiff,ogs-Parallel_RichardsMechanics_RichardsFlow_2d_richardsflow-mpirun-np4-vtkdiff,PASS,0.033210,FAIL,0.031967,-0.001244,0.962557,missing np4 result file for vtkdiff
